Unique ID,Alias Name,Alias strength
AFG0001,HAJI ALIM HAWALA,
AFG0001,HAJI HAKIM HAWALA,
AFG0001,HAJI KHAIR ULLAH MONEY SERVICE,
AFG0001,HAJI KHAIRULLAH AND ABDUL SATTAR AND COMPANY,
AFG0001,HAJI KHAIRULLAH MONEY EXCHANGE,
AFG0001,HAJI KHAIRULLAH-HAJI SATTAR SARAFI,
AFG0001,HAJI SALAM HAWALA,
AFG0001,SARAFI-YI HAJI KHAIRULLAH HAJI SATAR HAJI ESMATULLAH,
AFG0002,HAJI AHMAD SHAH HAWALA,
AFG0002,MAULAWI AHMED SHAH HAWALA,
AFG0002,MULLAH AHMED SHAH HAWALA,
AFG0002,ROSHAN SARAFI,
AFG0002,ROSHAN SHIRKAT,
AFG0002,ROSHAN TRADING COMPANY,
AFG0002,RUSHAAN TRADING COMPANY,
AFG0004,HAJI MUHAMMAD QASIM SARAFI,
AFG0004,MUSA KALIM HAWALA,
AFG0004,NEW CHAGAI TRADING,
AFG0004,RAHAT TRADING COMPANY,
AFG0005,HAJI ABDUL BASIR AND ZAR JAMEEL HAWALA,
AFG0005,HAJI ABDUL BASIR EXCHANGE SHOP,
AFG0005,HAJI BASEER HAWALA,
AFG0005,HAJI BASHIR AND ZARJMIL HAWALA COMPANY,
AFG0005,HAJI BASIR AND ZARJAMIL CURRENCY EXCHANGE,
AFG0005,HAJI BASIR HAWALA,
AFG0005,"HAJI ZAR JAMIL, HAJI ABDUL BASEER MONEY CHANGER",
AFG0007,KABIR MUHAMMAD JAN ABDUL,
AFG0007,ABDUL KABIR MUHAMMAD JAN,
AFG0007,A KABIR,Good quality a.k.a
AFG0009,MOHAMMAD TAHER ANWARI,Good quality a.k.a
AFG0009,MOHAMMAD TAHRE ANWARI,Good quality a.k.a
AFG0009,MUHAMMAD TAHIR ANWARI,Good quality a.k.a
AFG0009,MUDIR,Low quality a.k.a
AFG0010,SAYYED MOHAMMAD HAQQANI,Good quality a.k.a
AFG0011,ABDUL LATIF MANSOOR,Good quality a.k.a
AFG0011,WALI MOHAMMAD,Good quality a.k.a
AFG0012,SHAMSURRAHMAN ABDURAHMAN,Good quality a.k.a
AFG0012,SHAMS UR-RAHMAN SHER ALAM,Low quality a.k.a
AFG0012,SHAMS-U-RAHMAN,Good quality a.k.a
AFG0012,SHAMSURRAHMAN,Good quality a.k.a
AFG0014,NAIB IMAM,Low quality a.k.a
AFG0014,AKHTAR MUHAMMAD MANSOOR,Good quality a.k.a
AFG0014,AKHTAR MOHAMMAD MANSOUR KHAN MUHAMMAD,Good quality a.k.a
